locality	site	long	lat	acanthuridae
abrolhos	portinho_norte	-38.69777778	-17.96138889	2.906598428
abrolhos	siriba	-38.71583333	-17.97055556	2.036728161
abrolhos	chapeirao	-38.69527778	-17.96472222	1.002122224
abrolhos	mato_verde	-38.6625	-17.96277778	0.961930584
arraial	paredao	-41.979754	-22.978203	3.412356643
arraial	boqueirao	-41.979754	-22.978203	2.140220627
arraial	pta_leste	-41.979754	-22.978203	1.701571493
arraial	porcos_oeste	-41.998779	-22.991111	1.007110116
arraial	anequim	-41.993723	-22.96573	0.864777874
arraial	maramut	-42.006865	-23.010107	0.809181027
arraial	porcos_sul	-41.99416	-22.968393	0.709490668
arraial	pta_agua	-41.992642	-22.986281	0.642905552
arraial	saco_ingleses	-41.984482	-22.980484	0.545488826
arraial	pedra_vermelha	-42.006865	-23.010107	0.494144218
arraial	anequim	-42.008008	-23.006383	0.269974731
arraial	cardeiros	-41.984482	-22.980484	0.231887139
Belize	CBC1	-87.25553	16.95378	0.664678877
Belize	CBC3	-87.25553	16.95378	0.48126406
Belize	CBC2_SouthWater	-87.25553	16.95378	0.477545741
Belize	CBC4	-87.25553	16.95378	0.4654442
Belize	SiteColeta	-87.25553	16.95378	0.375232334
Belize	CBC5	-87.25553	16.95378	0.311022467
Curacao	WaterFactory	-68.95	12.1	0.565959303
Curacao	Westpunt_PlayaKalki	-68.983333	12.133333	0.558030677
Curacao	PortMarie	-68.8	12.033333	0.555130497
Curacao	MariePumpoin	-69.15	12.366667	0.39106349
Curacao	PlayaLargo	-68.816667	12.033333	0.311299292
Curacao	SnakeBay	-69.2	12.366667	0.23480822
Florida_Keys	Conch	-80.458333	24.953056	1.97602956
Florida_Keys	Picles	-80.414444	24.9875	1.632765487
Florida_Keys	Molasses	-80.370833	25.013889	1.407770308
Gray's_Reef_National_Marine_Santuary	BP06N	-80.016667	26.9	0
Gray's_Reef_National_Marine_Santuary	FS15	-80	26.866667	0
Gray's_Reef_National_Marine_Santuary	FS17	-80	26.883333	0
Gray's_Reef_National_Marine_Santuary	Monitoring_Site	-80	26.883333	0
guarapari	ilhas_rasas	-40.407589	-20.699631	2.26326271
guarapari	escalvada	-40.278388	-20.363218	1.1754456
