local	site	lon	lat	acanthuridae
abrolhos	chap	-38.6625	-17.96277778	19.17854773
abrolhos	mtv	-38.69527778	-17.96472222	2.69537762
abrolhos	ptn	-38.69777778	-17.96138889	22.52130414
abrolhos	srba	-38.71583333	-17.97055556	6.484064407
arraial	ane	-41.984482	-22.980484	66.50927834
arraial	car	-42.00165556	-22.96514167	1.634882118
arraial	por	-41.993723	-22.96573	1.072920097
atol	anc	-34.04216	-4.076177	80.35395144
atol	fba	-34.04216	-4.076177	0
atol	pcr	-34.04216	-4.076177	0.512083859
atol	roc	-34.04216	-4.076177	8.000283139
atol	sal	-34.04216	-4.076177	0
atol	tar	-34.04216	-4.076177	1.897535328
belize	cbc1	-87.25553	16.95378	1.263640203
belize	cbc3	-87.25553	16.95378	4.392709417
belize	cbsw	-87.25553	16.95378	1.86468137
belize	cur	-87.25553	16.95378	7.538761854
central_florida	a51	-80	26.883333	0.549830913
central_florida	blu	-80.016667	26.9	0.117105514
central_florida	cpm	-80	26.866667	0.453017557
central_florida	spf	-80	26.883333	0.480431724
curaçao	oo1	-68.8	12.033333	1.269939591
curaçao	oo2	-68.816667	12.033333	6.033390267
curaçao	snb	-68.983333	12.133333	3.849399324
curaçao	waf	-68.95	12.1	8.252368021
curaçao	west	-69.15	12.366667	4.375540445
florida_keys	conc	-80.458333	24.953056	3.397501477
florida_keys	mol	-80.370833	25.013889	4.040336061
florida_keys	pic	-80.414444	24.9875	5.19452073
georgia	BP06	-81.1275	31.475556	0
georgia	FS15	-80.936667	31.53	0
georgia	FS17	-80.935278	31.645278	0
georgia	L4	-81.160833	31.610833	0
georgia	ms	-80.999722	31.603056	0
guarapari	esc	-40.407589	-20.699631	7.621545846
guarapari	ras	-40.366164	-20.676614	5.606110905
guarapari	trei	-40.378777	-20.612348	0.003539665
mexico	bar	-86.966667	20.466667	5.066593987
mexico	chk	-86.966667	20.466667	11.58796284
mexico	jar	-86.966667	20.466667	11.50661003
mexico	moc	-86.966667	20.466667	6.930084901
mexico	par	-86.983333	20.466667	17.75973333
mexico	sab	-86.966667	20.466667	6.44328315
north_carolina	strk	-76.5275	34.424444	0
north_carolina	swkb	-76.5275	34.424444	0.215310756
parcel	ana	-44.264283	-0.869867	16.93914207
parcel	bas	-44.279033	-0.8703	0.262088548
rn	bar	-35.363432	-5.262117	11.57407274
rn	bat	-35.0725	-5.56435	16.8048214
rn	cabl	-35.037183	-5.950039	2.109090826
rn	mar	-35.258986	-5.394114	0.281850232
rn	pds	-35.090067	-5.564467	12.58464717
rn	rfg	-35.363432	-5.262117	3.469944102
sc	arve_bt	-48.363806	-27.290608	0
sc	arve_eng	-48.367013	-27.290608	0
sc	arve_vi	-48.361041	-27.298217	0
sc	arvw	-48.368482	-27.277044	0
sc	des	-48.331675	-27.264465	0
sc	xav	-48.387576	-27.603507	0
sp	alcs	-45.702491	-24.105182	1.828449475
sp	buz	-45.158123	-23.805783	0.357536073
sp	cab	-45.393889	-23.830333	0
sp	dio	-45.283621	-23.935384	1.954056932
sp	som	-45.243995	-23.893302	0
