local	site	lon	lat	haemulidae
abrolhos	chap	-38.6625	-17.96277778	0
abrolhos	mtv	-38.69527778	-17.96472222	0.113186902
abrolhos	ptn	-38.69777778	-17.96138889	0.232184475
abrolhos	srba	-38.71583333	-17.97055556	0.627492522
arraial	ane	-41.984482	-22.980484	0.171425518
arraial	car	-42.00165556	-22.96514167	0
arraial	por	-41.993723	-22.96573	0.039989056
atol	anc	-34.04216	-4.076177	0
atol	fba	-34.04216	-4.076177	0
atol	pcr	-34.04216	-4.076177	0
atol	roc	-34.04216	-4.076177	0
atol	sal	-34.04216	-4.076177	0
atol	tar	-34.04216	-4.076177	0
belize	cbc1	-87.25553	16.95378	0
belize	cbc3	-87.25553	16.95378	0
belize	cbsw	-87.25553	16.95378	0
belize	cur	-87.25553	16.95378	0
central_florida	a51	-80	26.883333	0.155607172
central_florida	blu	-80.016667	26.9	0.014691266
central_florida	cpm	-80	26.866667	0
central_florida	spf	-80	26.883333	0.630906641
curaçao	oo1	-68.8	12.033333	0
curaçao	oo2	-68.816667	12.033333	0
curaçao	snb	-68.983333	12.133333	0
curaçao	waf	-68.95	12.1	0
curaçao	west	-69.15	12.366667	0
florida_keys	conc	-80.458333	24.953056	0.041469032
florida_keys	mol	-80.370833	25.013889	0.005053941
florida_keys	pic	-80.414444	24.9875	0.07647039
georgia	BP06	-81.1275	31.475556	0
georgia	FS15	-80.936667	31.53	0.014726077
georgia	FS17	-80.935278	31.645278	0
georgia	L4	-81.160833	31.610833	0
georgia	ms	-80.999722	31.603056	0
guarapari	esc	-40.407589	-20.699631	0.050650093
guarapari	ras	-40.366164	-20.676614	0
guarapari	trei	-40.378777	-20.612348	0.002987568
mexico	bar	-86.966667	20.466667	0.077349406
mexico	chk	-86.966667	20.466667	0
mexico	jar	-86.966667	20.466667	0.073784156
mexico	moc	-86.966667	20.466667	0
mexico	par	-86.983333	20.466667	0.030706979
mexico	sab	-86.966667	20.466667	0
north_carolina	strk	-76.5275	34.424444	0.018921541
north_carolina	swkb	-76.5275	34.424444	0.108747302
parcel	ana	-44.264283	-0.869867	0.639513474
parcel	bas	-44.279033	-0.8703	0.045120998
rn	bar	-35.363432	-5.262117	0
rn	bat	-35.0725	-5.56435	0
rn	cabl	-35.037183	-5.950039	0
rn	mar	-35.258986	-5.394114	0.339656935
rn	pds	-35.090067	-5.564467	0
rn	rfg	-35.363432	-5.262117	0.600150983
sc	arve_bt	-48.363806	-27.290608	0.135336617
sc	arve_eng	-48.367013	-27.290608	0.387697205
sc	arve_vi	-48.361041	-27.298217	0
sc	arvw	-48.368482	-27.277044	0.107494822
sc	des	-48.331675	-27.264465	0.407523253
sc	xav	-48.387576	-27.603507	0.186608397
sp	alcs	-45.702491	-24.105182	0.894952469
sp	buz	-45.158123	-23.805783	0.848395685
sp	cab	-45.393889	-23.830333	0.201086494
sp	dio	-45.283621	-23.935384	0.103002839
sp	som	-45.243995	-23.893302	0.192443864
