local	site	lon	lat	lscarinae
abrolhos	chap	-38.6625	-17.96277778	8.665454568
abrolhos	mtv	-38.69527778	-17.96472222	0.210127064
abrolhos	ptn	-38.69777778	-17.96138889	0.746846159
abrolhos	srba	-38.71583333	-17.97055556	1.695506888
arraial	ane	-41.984482	-22.980484	0.161862935
arraial	car	-42.006865	-23.010107	0.781457196
arraial	por	-41.993723	-22.96573	1.618650632
atol	anc	-34.04216	-4.076177	0.322611824
atol	fba	-34.04216	-4.076177	0.001208568
atol	pcr	-34.04216	-4.076177	0
atol	roc	-34.04216	-4.076177	1.519640136
atol	sal	-34.04216	-4.076177	0
atol	tar	-34.04216	-4.076177	0.092871698
belize	cbc1	-87.25553	16.95378	1.898255013
belize	cbc3	-87.25553	16.95378	8.406611458
belize	cbsw	-87.25553	16.95378	4.970693996
belize	cur	-87.25553	16.95378	4.417468922
central_florida	a51	-80	26.883333	0.099330248
central_florida	blu	-80.016667	26.9	0.105464101
central_florida	cpm	-80	26.866667	0.196739162
central_florida	spf	-80	26.883333	0.031102012
curaçao	oo1	-68.8	12.033333	3.736137828
curaçao	oo2	-68.816667	12.033333	2.393265924
curaçao	snb	-68.983333	12.133333	16.47006598
curaçao	waf	-68.95	12.1	5.210497766
curaçao	west	-69.15	12.366667	6.06377906
florida_keys	conc	-80.458333	24.953056	6.113205539
florida_keys	mol	-80.370833	25.013889	6.916264642
florida_keys	pic	-80.414444	24.9875	3.146004483
georgia	BP06	-81.1275	31.475556	0
georgia	FS15	-80.936667	31.53	0
georgia	FS17	-80.935278	31.645278	0
georgia	L4	-81.160833	31.610833	0
georgia	ms	-80.999722	31.603056	0
guarapari	esc	-40.407589	-20.699631	0.230582638
guarapari	ras	-40.366164	-20.676614	0.376566028
guarapari	trei	-40.366164	-20.676614	0.002770241
mexico	bar	-86.966667	20.466667	0.913240126
mexico	chk	-86.966667	20.466667	6.03841869
mexico	jar	-86.966667	20.466667	14.47544763
mexico	moc	-86.966667	20.466667	5.074556828
mexico	par	-86.983333	20.466667	9.673577455
mexico	sab	-86.983333	20.466667	2.939713138
north_carolina	strk	-76.5275	34.424444	0
north_carolina	swkb	-76.5275	34.424444	0
parcel	ana	-44.264283	-0.869867	7.285689279
parcel	bas	-44.279033	-0.8703	1.033369266
rn	bar	-35.363432	-5.262117	0.931255272
rn	bat	-35.0725	-5.56435	1.902614238
rn	cabl	-35.037183	-5.950039	0.062855821
rn	mar	-35.258986	-5.394114	0.352751872
rn	pds	-35.090067	-5.564467	3.213010734
rn	rfg	-35.363432	-5.262117	1.030853156
sc	arve_bt	-48.363806	-27.290608	0.384731119
sc	arve_eng	-48.367013	-27.290608	0.006556842
sc	arve_vi	-48.361041	-27.298217	0.002417385
sc	arvw	-48.368482	-27.277044	0
sc	des	-48.331675	-27.264465	0.205994522
sc	xav	-48.387576	-27.603507	0.059015099
sp	alcs	-45.702491	-24.105182	0.146177197
sp	buz	-45.158123	-23.805783	0.246270071
sp	cab	-45.393889	-23.830333	0
sp	dio	-45.283621	-23.935384	0.170447426
sp	som	-45.243995	-23.893302	0.078379319
