local	sites	lon	lat	sparidae
abrolhos	chap	-38.6625	-17.96277778	1
abrolhos	mtv	-38.69527778	-17.96472222	1
abrolhos	ptn	-38.69777778	-17.96138889	1
abrolhos	srba	-38.71583333	-17.97055556	1
arraial	ane	-41.984482	-22.980484	1
arraial	car	-42.00165556	-22.96514167	1
arraial	por	-41.993723	-22.96573	1
atol	anc	-34.04216	-4.076177	0
atol	fba	-34.04216	-4.076177	0
atol	roc	-34.04216	-4.076177	0
atol	pcr	-34.04216	-4.076177	0
atol	sal	-34.04216	-4.076177	0
atol	tar	-34.04216	-4.076177	0
belize	cbc1	-87.25553	16.95378	1
belize	cbc3	-87.25553	16.95378	1
belize	cbsw	-87.25553	16.95378	1
belize	cur	-87.25553	16.95378	1
central_florida	a51	-80	26.883333	1
central_florida	blu	-80.016667	26.9	1
central_florida	cpm	-80	26.866667	1
central_florida	spf	-80	26.883333	1
curaçao	oo1	-68.8	12.033333	1
curaçao	oo2	-68.816667	12.033333	1
curaçao	snb	-68.983333	12.133333	1
curaçao	waf	-68.95	12.1	1
curaçao	west	-69.15	12.366667	1
florida_keys	conc	-80.458333	24.953056	1
florida_keys	mol	-80.370833	25.013889	1
florida_keys	pic	-80.414444	24.9875	1
georgia	BP06	-81.1275	31.475556	1
georgia	FS15	-80.936667	31.53	1
georgia	FS17	-80.935278	31.645278	1
georgia	L4	-81.160833	31.610833	1
georgia	ms	-80.999722	31.603056	1
guarapari	esc	-40.407589	-20.699631	1
guarapari	ras	-40.407589	-20.699631	1
guarapari	trei	-40.378777	-20.612348	1
mexico	bar	-86.966667	20.466667	1
mexico	chk	-86.966667	20.466667	1
mexico	jar	-86.966667	20.466667	1
mexico	moc	-86.966667	20.466667	1
mexico	par	-86.983333	20.466667	1
mexico	sab	-86.966667	20.466667	1
north_carolina	strk	-76.5275	34.424444	1
north_carolina	swkb	-76.5275	34.424444	1
parcel	ana	-44.264283	-0.869867	0
parcel	bas	-44.279033	-0.8703	0
rn	mar	-35.258986	-5.394114	1
rn	rfg	-35.363432	-5.262117	1
rn	bat	-35.0725	-5.56435	1
rn	pds	-35.090067	-5.564467	1
rn	bar	-35.039283	-5.956183	1
rn	cabl	-35.037183	-5.950039	1
sc	arve_bt	-48.363806	-27.290608	1
sc	arve_eng	-48.367013	-27.290608	1
sc	arvw	-48.368482	-27.277044	1
sc	arve_vi	-48.361041	-27.298217	1
sc	des	-48.331675	-27.264465	1
sc	xav	-48.387576	-27.603507	1
sp	cab	-45.393889	-23.830333	1
sp	buz	-45.158123	-23.805783	1
sp	dio	-45.283621	-23.935384	1
sp	som	-45.243995	-23.893302	1
sp	alcs	-45.702491	-24.105182	1
