local	site	lon	lat	todos
abrolhos	chap	-38.6625	-17.96277778	27.8440023
abrolhos	mtv	-38.69527778	-17.96472222	3.018691586
abrolhos	ptn	-38.69777778	-17.96138889	23.50033478
abrolhos	srba	-38.71583333	-17.97055556	8.807063817
arraial	ane	-41.984482	-22.980484	67.15233034
arraial	car	-42.006865	-23.010107	2.416339314
arraial	por	-41.993723	-22.96573	2.731559786
atol	anc	-34.04216	-4.076177	80.67656327
atol	fba	-34.04216	-4.076177	0.001208568
atol	pcr	-34.04216	-4.076177	0.512083859
atol	roc	-34.04216	-4.076177	9.519923276
atol	sal	-34.04216	-4.076177	0
atol	tar	-34.04216	-4.076177	1.990407026
belize	cbc1	-87.25553	16.95378	3.161895215
belize	cbc3	-87.25553	16.95378	12.79932088
belize	cbsw	-87.25553	16.95378	6.835375365
belize	cur	-87.25553	16.95378	11.95623078
central_florida	a51	-80	26.883333	0.804768333
central_florida	blu	-80.016667	26.9	0.237260881
central_florida	cpm	-80	26.866667	0.649756719
central_florida	spf	-80	26.883333	1.142440376
curaçao	oo1	-68.8	12.033333	5.006077419
curaçao	oo2	-68.816667	12.033333	8.426656191
curaçao	snb	-68.983333	12.133333	20.3194653
curaçao	waf	-68.95	12.1	13.46286579
curaçao	west	-69.15	12.366667	10.43931951
florida_keys	conc	-80.458333	24.953056	9.552176049
florida_keys	mol	-80.370833	25.013889	10.96165464
florida_keys	pic	-80.414444	24.9875	8.42580023
georgia	BP06	-81.1275	31.475556	1.16366833
georgia	FS15	-80.936667	31.53	1.917067417
georgia	FS17	-80.935278	31.645278	0.409903777
georgia	L4	-81.160833	31.610833	0
georgia	ms	-80.999722	31.603056	0.400012916
guarapari	esc	-40.407589	-20.699631	7.902778577
guarapari	ras	-40.366164	-20.676614	5.998555488
guarapari	trei	-40.366164	-20.676614	0.009297473
mexico	bar	-86.966667	20.466667	6.057183519
mexico	chk	-86.966667	20.466667	17.62638153
mexico	jar	-86.966667	20.466667	26.05584182
mexico	moc	-86.966667	20.466667	12.00464173
mexico	par	-86.983333	20.466667	27.46401776
mexico	sab	-86.983333	20.466667	9.382996288
north_carolina	strk	-76.5275	34.424444	0.759472686
north_carolina	swkb	-76.5275	34.424444	0.564311644
parcel	ana	-44.264283	-0.869867	24.86434482
parcel	bas	-44.279033	-0.8703	1.340578813
rn	bar	-35.363432	-5.262117	12.50532801
rn	bat	-35.0725	-5.56435	18.70743564
rn	cabl	-35.037183	-5.950039	2.171946648
rn	mar	-35.258986	-5.394114	0.97425904
rn	pds	-35.090067	-5.564467	15.7976579
rn	rfg	-35.363432	-5.262117	5.100948241
sc	arve_bt	-48.363806	-27.290608	1.873961509
sc	arve_eng	-48.367013	-27.290608	0.564138693
sc	arve_vi	-48.361041	-27.298217	0.177986394
sc	arvw	-48.368482	-27.277044	0.107494822
sc	des	-48.331675	-27.264465	0.659619249
sc	xav	-48.387576	-27.603507	1.056355661
sp	alcs	-45.702491	-24.105182	2.897039444
sp	buz	-45.158123	-23.805783	1.452201829
sp	cab	-45.393889	-23.830333	1.589151643
sp	dio	-45.283621	-23.935384	2.231102232
sp	som	-45.243995	-23.893302	0.275589511
